
SCHOOL NAME, MASCOT, ABBREVIATION, CONFERENCE, PRIMARY HEX COLOR, SECONDARY HEX COLOR, PRESTIGE, HOME STATE, PIPELINE STATES (separated by .);
Connecticut, Huskies, UCONN, Northeast, 000E2F, E4002B, 79, CT, CT.MA.RI;
Villanova, Wildcats, NOVA, Northeast, 00205B, 13B5EA, 90, PA, PA.NY.NJ.DE.MD.DC;
Rhode Island, Rams, URI, Northeast, 68ABE8, FFFFFF, 56, RI, RI.MA.ME;
Providence, Friars, PROV, Northeast, 000000, 8A8D8F, 63, RI, RI.MA.ME;
Hofstra, Pride, HOFS, Northeast, 003591, FDC82F, 37, NY, NY.NJ.PA;
Georgetown, Hoyas, GTOWN, Northeast, 041E42, 8D817B, 60, DC, DC.MD;
St. John’s, Red Storm, STJ, Northeast, BA0C2F, A7A8AA, 70, NY, NY.NJ;
Vermont, Catamounts, VERM, Northeast, 154734, FFC72C, 46, VT, VT.NH;
Hartford, Hawks, HART, Northeast, 9E1B32, 6C6F70, 54, PA, PA.DE.MD.DC;
Northeastern, Huskies, NE, Northeast, D41B2C, 000000, 35, MA, MA;
LIU-Brooklyn, Sharks, LIU, Northeast, 61B2F4, FCC630, 52, NY, NY.NJ;
Old Dominion, Monarchs, ODU, Northeast, 003057, 7C878E, 40, VA, VA.DE;
Temple, Owls, TEMP, Northeast, 9D2235, C1C6C8, 57, PA, PA.DE.MD.DC;
Buffalo, Bulls, BUFF, Northeast, 005BBB, FFFFFF, 65, NY, NY.PA;
Miami, Hurricanes, MIAMI, Atlantic, 005030, FF671F, 75, FL, FL;
Boston College, Eagles, BC, Atlantic, 98002E, BC9B6A, 58, MA, MA.RI.ME;
Florida State, Seminoles, FSU, Atlantic, 782F40, CEB888, 69, FL, FL;
Clemson, Tigers, CLEM, Atlantic, F56600, 522D80, 61, SC, SC;
Virginia Tech, Hokies, VTECH, Atlantic, 6A2C3E, CF4520, 71, VA, VA;
Pittsburgh, Panthers, PITT, Atlantic, 1C2957, CDB87D, 57, PA, PA.OH.WV;
Virginia, Cavaliers, UVA, Atlantic, 232D4B, F84C1E, 89, VA, VA;
Syracuse, Orange, SYR, Atlantic, D44500, 6F777D, 80, NY, NY;
Georgia Tech, Yellow Jackets, GTECH, Atlantic, B3A369, 003057, 63, GA, GA;
Wake Forest, Demon Deacons, WAKE, Atlantic, A67F31, 000000, 70, NC, NC;
Duke, Blue Devils, DUKE, Atlantic, 0736A4, FFFFFF, 95, NC, NC.SC;
North Carolina, Tar Heels, UNC, Atlantic, 7BAFD4, FFFFFF, 95, NC, NC.SC;
NC State, Wolfpack, NCST, Atlantic, CC0000, 000000, 76, NC, NC;
VCU, Rams, VCU, Atlantic, FFB300, 000000, 65, VA, VA;
Davidson, Wildcats, DAV, Atlantic, AC1A2F, 000000, 54, NC, NC;
Illinois, Fighting Illini, ILL, Midwest, E84A27, 13294B, 71, IL, IL;
Northwestern, Wildcats, NWEST, Midwest, 4E2A84, FFFFFF, 61, IL, IL.WI;
Purdue, Boilermakers, PUR, Midwest, C28E0E, 000000, 80, IN, IN;
Indiana, Hoosiers, IU, Midwest, 990000, EEEDEB, 77, IN, IN;
Michigan State, Spartans, MSU, Midwest, 18453B, FFFFFF, 88, MI, MI;
Michigan, Wolverines, MICH, Midwest, 00274C, FFCB05, 85, MI, MI.IN;
Wisconsin, Badgers, WIS, Gateway, C5050C, FFFFFF, 82, WI, WI.IL.MN;
Minnesota, Gophers, MINN, Gateway, 7A0019, FFCC33, 68, MN, MN.ND.SD;
Nebraska, Huskers, NEB, Midwest, E41C38, FFFFFF, 60, NE, NE.IA;
