The Ultimate,,,,,,
PACIF,North,South,,,,
SOUTH,East,West,,,,
LAKES,East,West,,,,
NORTH,Senate,Congress,,,,
COWBOY,Sheriff,Outlaw,,,,
MOUNT,Climbers,Hikers,,,,
# Team Format:,Conference,Division,Name,Abbr,Prestige,Rival
# PACIF,,,,,,
TEAM,PACIF,North,Long Beach State,LBSU,95,CSUN
TEAM,PACIF,North,Gonzaga,ZAGA,87,PEP
TEAM,PACIF,North,San Diego,SD,86,UPAC
TEAM,PACIF,North,UC Irvine,UCI,77,UCSD
TEAM,PACIF,North,UC Riverside,UCR,69,CSUF
TEAM,PACIF,North,Seattle,SEAU,59,CSUB
TEAM,PACIF,North,American Samoa,SAM,26,CPLY
TEAM,PACIF,South,Cal State Northridge,CSUN,82,LBSU
TEAM,PACIF,South,Pepperdine,PEP,79,ZAGA
TEAM,PACIF,South,Pacific,UPAC,82,SD
TEAM,PACIF,South,UC San Diego,UCSD,70,UCI
TEAM,PACIF,South,Cal State Fullerton,CSUF,49,UCR
TEAM,PACIF,South,Cal State Bakersfield,CSUB,58,SEAU
TEAM,PACIF,South,Cal Poly,CPLY,75,SAM
# SOUTH,,,,,,
TEAM,SOUTH,East,Florida Gulf Coast,FGCU,65,SELA
TEAM,SOUTH,East,VCU,VCU,88,ETSU
TEAM,SOUTH,East,Davidson,DVDSN,65,WCU
TEAM,SOUTH,East,Georgetown,GTWN,83,UTC
TEAM,SOUTH,East,UNC Asheville,UNCA,74,UNCG
TEAM,SOUTH,East,Longwood,LGWD,50,VMI
TEAM,SOUTH,East,Florida A&M,FAMU,55,CARK
TEAM,SOUTH,West,VMI,VMI,88,LGWD
TEAM,SOUTH,West,East Tenn State,ETSU,83,VCU
TEAM,SOUTH,West,Western Carolina,WCU,88,DVDSN
TEAM,SOUTH,West,Chattanooga,UTC,77,GTWN
TEAM,SOUTH,West,UNC Greensboro,UNCG,79,UNCA
TEAM,SOUTH,West,Central Arkansas,CARK,73,FAMU
TEAM,SOUTH,West,Southeast Louisiana,SELA,60,FGCU
# LAKES,,,,,,
TEAM,LAKES,East,Valparaiso,VALPO,72,UIC
TEAM,LAKES,East,Evansville,UE,51,WIU
TEAM,LAKES,East,Indiana State,INDST,82,EIU
TEAM,LAKES,East,IUPUI,IUPUI,61,UNI
TEAM,LAKES,East,Purdue-Fort Wayne,IPFW,60,SIU
TEAM,LAKES,East,Oakland,OAK,72,DRAKE
TEAM,LAKES,East,Youngstown St,YOUNG,88,LYCHI
TEAM,LAKES,West,Loyola-Chicago,LYCHI,59,YOUNG
TEAM,LAKES,West,Drake,DRAKE,77,OAK
TEAM,LAKES,West,Southern Illinois,SIU,87,IPFW
TEAM,LAKES,West,Northern Iowa,UNI,93,IUPUI
TEAM,LAKES,West,Eastern Illinois,EIU,74,INDST
TEAM,LAKES,West,Western Illinois,WIU,69,UE
TEAM,LAKES,West,Illinois-Chicago,UIC,72,VALPO
# NORTH,,,,,,
TEAM,NORTH,Senate,Hartford,HFRD,78,HFSRA
TEAM,NORTH,Senate,Binghamton,BHTN,86,NESRN
TEAM,NORTH,Senate,Saint Joseph's,SJU,89,UDEL
TEAM,NORTH,Senate,Villanova,NOVA,54,SIENA
TEAM,NORTH,Senate,Seton Hall,SNHL,50,IONA
TEAM,NORTH,Senate,Providence,PROV,87,SFNY
TEAM,NORTH,Senate,Connecticut,UCONN,84,SFPA
TEAM,NORTH,Congress,Hofstra,HFSRA,78,HFRD
TEAM,NORTH,Congress,Northeastern,NESRN,70,BHTN
TEAM,NORTH,Congress,Delaware,UDEL,76,SJU
TEAM,NORTH,Congress,Siena,SIENA,55,NOVA
TEAM,NORTH,Congress,Iona,IONA,95,SNHL
TEAM,NORTH,Congress,St Francis NY,SFNY,76,PROV
TEAM,NORTH,Congress,St Francis PA,SFPA,55,UCONN
# COWBOY,,,,,,
TEAM,COWBOY,Sheriff,UT Arlington,UTA,56,WCHST
TEAM,COWBOY,Sheriff,TX Southern,TXSOU,76,CRTN
TEAM,COWBOY,Sheriff,Houston Baptist,HBU,62,MOST
TEAM,COWBOY,Sheriff,Abilene Christian,ACU,56,SHOU
TEAM,COWBOY,Sheriff,Stephen F Austin,SFA,54,LAMAR
TEAM,COWBOY,Sheriff,Tarleton State,TRNST,64,INWRD
TEAM,COWBOY,Sheriff,UT Rio Grande Valley,UTRGV,83,TAMUC
TEAM,COWBOY,Outlaw,Wichita State,WCHST,91,UTA
TEAM,COWBOY,Outlaw,Creighton,CRTN,83,TXSOU
TEAM,COWBOY,Outlaw,Missouri State,MOST,78,HBU
TEAM,COWBOY,Outlaw,Sam Houston State,SHOU,72,ACU
TEAM,COWBOY,Outlaw,Lamar,LAMAR,89,SFA
TEAM,COWBOY,Outlaw,Incarnate Word,INWRD,88,TRNST
TEAM,COWBOY,Outlaw,TAMU-Corpus Christi,TAMUC,90,UTRGV
# MOUNT,,,,,,
TEAM,MOUNT,Climbers,Utah Valley,UTVY,50,UCD
TEAM,MOUNT,Climbers,NM State,NMST,93,SFU
TEAM,MOUNT,Climbers,Grand Canyon,GCU,87,SCLRA
TEAM,MOUNT,Climbers,California Baptist,CALBU,76,STMRY
TEAM,MOUNT,Climbers,Dixie State,DIXST,86,PORT
TEAM,MOUNT,Climbers,UC Santa Barbara,UCSB,63,BYU
TEAM,MOUNT,Climbers,Hawaii,HAW,57,LMU
TEAM,MOUNT,Hikers,UC Davis,UCD,83,UTVY
TEAM,MOUNT,Hikers,San Francisco,SFU,60,NMST
TEAM,MOUNT,Hikers,Santa Clara,SCLRA,61,GCU
TEAM,MOUNT,Hikers,Saint Mary's,STMRY,87,CALBU
TEAM,MOUNT,Hikers,Portland,PORT,67,DIXST
TEAM,MOUNT,Hikers,BYU,BYU,85,UCSB
TEAM,MOUNT,Hikers,Loyola Marymount,LMU,66,HAW
