USFL,,,,,,,,,
CAA,North,South,,,,,,,
Big Sky,Pacific,West,,,,,,,
MVC,West,East,,,,,,,
Division III,A,B,,,,,,,
PFL Qualifiers,A,B,,,,,,,
PFL B League,A,B,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,
# CAA,,,,,,,,,
TEAM,CAA,North,Albany,ALB,16,JMU,,,
TEAM,CAA,North,New Hampshire,NH,15,ELON,,,
TEAM,CAA,North,Rhode Island,RI,14,RICH,,,
TEAM,CAA,North,Stony Brook,STBK,13,WAM,,,
TEAM,CAA,North,Maine,ME,12,TWSN,,,
TEAM,CAA,North,Delaware,DE,11,PRES,,,
TEAM,CAA,North,Villanova,NOVA,10,HMTN,,,
TEAM,CAA,South,James Madison,JMU,16,ALB,,,
TEAM,CAA,South,Elon,ELON,15,NH,,,
TEAM,CAA,South,Richmond,RICH,14,RI,,,
TEAM,CAA,South,William and Mary,WAM,13,STBK,,,
TEAM,CAA,South,Towson,TWSN,12,ME,,,
TEAM,CAA,South,Presbyterian,PRES,11,DE,,,
TEAM,CAA,South,Hampton,HMTN,10,NOVA,,,
# Big Sky,,,,,,,,,
TEAM,Big Sky,Pacific,Sacramento State,SACST,23,MONST,,,
TEAM,Big Sky,Pacific,Eastern Washington,EWU,22,SOUT,,,
TEAM,Big Sky,Pacific,UC Davis,UCD,21,NAU,,,
TEAM,Big Sky,Pacific,Portland State,PDST,20,NOCO,,,
TEAM,Big Sky,Pacific,Cal Poly,CLPLY,19,GRIZ,,,
TEAM,Big Sky,Pacific,Idaho State,IDST,18,IDA,,,
TEAM,Big Sky,Pacific,Weber State,WBST,17,DIXIE,,,
TEAM,Big Sky,West,Montana State,MONST,23,SACST,,,
TEAM,Big Sky,West,Southern Utah,SOUT,22,EWU,,,
TEAM,Big Sky,West,Northern Arizona,NAU,21,UCD,,,
TEAM,Big Sky,West,Northern Colorado,NOCO,20,PDST,,,
TEAM,Big Sky,West,Montana,GRIZ,19,CLPLY,,,
TEAM,Big Sky,West,Idaho,IDA,18,IDST,,,
TEAM,Big Sky,West,Dixie State,DIXIE,17,WBST,,,
# Division II,,,,,,,,,
TEAM,MVC,West,North Dakota State,NDSU,30,MIZST,,,
TEAM,MVC,West,Northern Iowa,UNI,29,YOUNG,,,
TEAM,MVC,West,South Dakota State,SDSU,28,ILLST,,,
TEAM,MVC,West,North Dakota,ND,27,SIU,,,
TEAM,MVC,West,South Dakota,SD,26,INDST,,,
TEAM,MVC,West,Drake,DRAKE,25,DAYTON,,,
TEAM,MVC,West,Western Illinois,WIU,24,VALPO,,,
TEAM,MVC,East,Missouri State,MIZST,30,NDSU,,,
TEAM,MVC,East,Youngstown State,YOUNG,29,UNI,,,
TEAM,MVC,East,Illinois State,ILLST,28,SDSU,,,
TEAM,MVC,East,Southern Illinois,SIU,27,ND,,,
TEAM,MVC,East,Indiana State,INDST,26,SD,,,
TEAM,MVC,East,Dayton,DAYTON,25,DRAKE,,,
TEAM,MVC,East,Valparaiso,VALPO,24,WIU,,,
# Division III,,,,,,,,,
TEAM,Division III,A,LaPerm,LAPE,53,BRMN,,,
TEAM,Division III,A,Abyssinian,ABYS,52,HMAY,,,
TEAM,Division III,A,Premiera Globale Cats,PRGC,51,JGUR,,,
TEAM,Division III,A,Toyger,TOYG,50,CNRX,,,
TEAM,Division III,A,Persian,PRSI,49,TKCT,,,
